State,#,||,!=,),(,return,},=,main,-,%,const,int,,,<,&&,;,if,{,else,IntConst,$,Ident,void,floatConst,float,+,!,==,/,<=,>,*,>=
68,"error","error","error","error","error","error","error","error","error","error","error","error","error","r95","error","error","r95","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
69,"error","error","error","error","error","error","error","error","error","error","error","error","error","r12","error","error","r12","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
70,"error","error","error","error","error","error","error","error","error","error","error","error","error","r11","error","error","r11","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
71,"error","error","error","error","error","error","error","error","error","error","error","error","error","s35","error","error","r8","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
72,"r6","error","error","error","r6","r6","r6","error","error","r6","error","r6","r6","error","error","error","r6","r6","r6","error","r6","error","r6","r6","r6","r6","r6","r6","error","error","error","error","error","error"
73,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s100","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
74,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
75,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
76,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
77,"error","r70","r70","r70","error","error","error","error","error","r70","error","error","error","r70","r70","r70","r70","error","error","error","error","error","error","error","error","error","r70","error","r70","error","r70","r70","error","r70"
78,"error","error","error","r62","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
79,"error","r58","r58","r58","error","error","error","error","error","r58","r58","error","error","r58","r58","r58","r58","error","error","error","error","error","error","error","error","error","r58","error","r58","r58","r58","r58","r58","r58"
80,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
81,"error","r85","error","r85","error","error","error","error","error","error","error","error","error","r85","error","r85","r85","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
82,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
83,"error","r66","r66","r66","error","error","error","error","error","r66","r66","error","error","r66","r66","r66","r66","error","error","error","error","error","error","error","error","error","r66","error","r66","r66","r66","r66","r66","r66"
84,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
85,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
86,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
87,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
88,"error","r79","r79","r79","error","error","error","error","error","error","error","error","error","r79","error","r79","r79","error","error","error","error","error","error","error","error","error","error","error","r79","error","error","error","error","error"
89,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
90,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
91,"error","r75","r75","r75","error","error","error","error","error","error","error","error","error","r75","r75","r75","r75","error","error","error","error","error","error","error","error","error","error","error","r75","error","r75","r75","error","r75"
92,"error","error","error","s121","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
